,Rate,Review,Label
948,3.0, Quán thì hơi tối vệ sinh phẩm ko bún đặc biệt mà mực ko đậu rán hơi cá thí sắt mỏng tẩm bột rán cứng bát đặc lượng ko xứng đáng,neg
636,3.0, Mới ăn kem và bánh Giá hạt ze nhưng chẳng ngon tý Thật sự là còn dở hơn mình ở nhà vụ thì mặt nặng mày veeg còn bị đau Oa oa còn bị tụi bạn mày đến đó làm cái tiếng là lần sau cạch luôn,neg
422,4.4, Trước đây mình cũng rất thích đến King BBQ tại Lotte lúc đầu với hệ thống nhân viên cũ phục vụ chu đáo nhệt món ăn thì cũng như các hệ thống BBQ khác nhưng có điều có nhiều món ăn nhẹ đi kèm nên Nhưng mới gần dịp ra tết âm mình có đến quán thêm máy làn và cảm nhận được sự đi xuống của nhà Nhân viên phục vụ quá món ăn thì không nhiệt đồ nướng cứ để cháy thui mới quay lại nếu không làm được thì bảo khách hàng họ sẽ tự phục đằng này cứ để lửa to xong bỏ bực mình quá gợi em nhân viên phục vụ bàn đến Em không biết nướng cười vừa em cũng hồn nhiên trả Không vậy là cả bàn chị em chúng tôi đành phải nhìn nhau ngán Nói chung là quá gọi Trưởng quầy đến nói chuyện cũng không phân bua được Mình và các bạn mình tự hứa sẽ không bao giờ quay lại đây thêm lần nào vói thái độ thế với đồng tiền người ăn bỏ ra không ít mà nhận được thái độ này thật không đáng để tiếc Mọi người hãy cân nhắc khi đến,neu
338,5.0, Quán này từ những năm mình là sinh viên đã có lâu Trước ngon nhưng bây giờ không ngon bằng trước,neu
965,3.2, Hôm mùng tết có đi qa đây mua cốc trà Topping trân nh thứ mình muốn gọi đều k có mỗi lô hội vs thạch dừa nên mình đành dùng thạch K hiểu ntn nhưng mà uống cốc chả có cái cốc nào đc đúng vị nước thạch dừa đầy trong cốc uống khé k chịu mất hết matcha chả ra matcha nhài thì chả ra Nchung uống tệ khủng Uống xong lúc thì thấy bị nôn nao khó đến tối đứa thi nhau ôm bụng vào nhà Hồi trc thích uống Dingtea lắm nhưng sau lần này chắc cạch Dingtea tới già,neg
317,9.0, Không gian đậm chất kiểu hơi cổ kính Nhạc lãng bít tết có điều chất lượng có vẻ không ngon đc như ngày Quán nhất là vào tầm Nhân viên phục vụ Giá cũng khá đối với mình thì không cao quá cũng không thấp,pos
86,9.2, Pizza bò mỳ ý bỏ siêu nhiều nghiền phomai lắm luôm mà vẫn không ăn hết salad cá ngừ cũng ngon nàyy,pos
601,4.6, Ở đây đang được KM mua tặng Mình uống dâu tây thạch ống và xanh sữa chân Vì quen uống Dingtea nên qua đây uống thấy dâu cực chán ko phải dâu tây mà như hương liệu thôi Chắc uống lần rồi thôi,neu
691,3.8, Kinh khủng khiếp chưa bao giờ ăn bnahs mì dở như giá cũng ko ăn xong cả đứa bị đau bụng cả đêm luôn nhớ đời ko bao h quay lại,neg
22,10.0, Tất cả đều tuyệt,pos
